OrderID,CustomerID,ProductID,OrderDate,Quantity,Discount,Sales,Profit
50,9,64,2023-01-31,5,0.01,3104.94,662.58
51,19,62,2024-05-05,5,0.17,3632.99,786.3
52,167,68,2023-08-07,3,0.26,2475.26,493.43
53,57,64,2022-03-30,2,0.25,940.89,251.45
54,14,7,2023-03-05,5,0.12,8384.46,2020.92
55,88,51,2022-04-23,3,0.22,397.66,78.11
56,7,31,2023-03-12,3,0.27,2917.85,593.51
57,47,17,2024-12-31,5,0.09,7276.0,2168.22
58,154,60,2023-09-04,1,0.2,751.28,72.64
59,123,43,2023-08-11,1,0.29,1407.8,113.22
60,121,23,2022-05-09,4,0.14,5091.82,886.63
61,114,27,2022-12-28,3,0.22,1250.85,330.73
62,162,74,2024-03-26,2,0.19,2170.54,360.05
63,123,81,2022-06-03,2,0.3,512.78,96.6
64,127,52,2022-08-26,4,0.14,6514.05,899.55
65,11,12,2022-10-16,1,0.3,846.85,195.64
66,196,3,2022-05-16,4,0.03,5827.64,1342.98
67,145,19,2022-08-06,3,0.2,2754.77,505.91
68,68,90,2023-05-19,3,0.15,4315.85,589.24
69,104,52,2024-07-24,3,0.15,4828.73,716.43
70,93,36,2024-07-22,1,0.18,236.75,44.92
71,170,13,2022-11-07,3,0.0,3523.14,212.77
72,24,20,2024-05-20,3,0.29,2950.63,747.77
73,39,81,2024-08-30,1,0.02,358.94,42.59
74,89,25,2023-12-20,3,0.09,1398.2,417.31
75,63,57,2023-04-21,5,0.09,3724.63,465.6
76,4,61,2023-03-22,4,0.18,2483.81,230.53
77,41,43,2022-11-03,3,0.08,5472.58,1433.24
78,179,39,2023-01-18,3,0.03,3961.35,962.86
79,126,98,2022-04-01,5,0.2,4040.12,869.31
80,142,1,2022-10-13,5,0.02,538.02,28.19
81,57,17,2024-11-29,2,0.26,2366.7,314.34
82,79,10,2022-11-13,2,0.15,123.54,13.24
83,45,41,2023-09-09,5,0.08,6067.54,1519.15
84,102,53,2024-07-18,3,0.29,650.44,61.0
85,112,35,2023-04-18,3,0.24,2436.52,658.06
86,101,42,2024-12-15,5,0.0,4902.4,872.76
87,144,94,2022-10-23,3,0.3,997.12,160.83
88,185,87,2022-11-13,2,0.15,1587.78,413.08
89,181,87,2024-07-21,3,0.18,2297.62,686.2
90,71,60,2023-08-09,5,0.07,4366.81,1206.04
91,30,86,2023-12-18,4,0.08,3927.88,1022.04
92,116,37,2023-04-30,2,0.16,2126.63,305.88
93,15,14,2023-10-01,2,0.13,590.94,46.31
94,171,100,2024-09-24,4,0.24,4771.77,1261.41
95,91,97,2024-08-18,1,0.29,971.72,108.68
96,135,88,2024-03-15,2,0.3,1624.97,224.71
97,168,60,2023-03-02,4,0.13,3268.07,458.71
98,71,83,2022-02-07,1,0.2,936.29,252.68
99,78,3,2024-09-16,2,0.16,2523.31,151.16
100,188,10,2023-05-26,1,0.11,64.68,5.4
101,14,11,2022-04-29,4,0.06,2533.22,278.53
102,14,100,2022-08-16,5,0.14,6749.54,893.37
103,111,35,2023-12-08,3,0.26,2372.4,128.61
104,11,85,2023-12-20,4,0.14,3201.92,295.76
105,166,42,2022-07-09,2,0.04,1882.52,313.38
106,8,1,2024-04-01,4,0.23,338.18,91.08
107,114,31,2023-03-30,4,0.07,4956.34,949.93
108,19,40,2024-10-06,2,0.27,889.93,59.54
109,38,1,2024-03-13,5,0.27,400.77,21.25
110,81,52,2023-02-08,2,0.09,3446.39,960.16
111,99,52,2022-03-17,5,0.07,8805.33,1366.86
112,154,87,2024-06-05,5,0.27,3409.06,999.92
113,56,54,2023-12-22,5,0.1,8864.51,507.02
114,196,79,2024-04-04,2,0.16,3012.96,850.93
115,60,2,2023-08-03,4,0.06,1963.1,314.71
116,123,28,2023-09-15,2,0.05,1872.3,117.72
117,121,47,2022-05-21,4,0.24,3401.61,283.29
118,90,6,2022-05-08,2,0.28,55.28,11.26
119,111,93,2023-06-12,3,0.07,1208.88,217.06
120,27,77,2024-01-04,3,0.16,3507.08,219.96
121,24,60,2023-03-07,4,0.17,3117.81,444.0
122,22,1,2023-01-19,4,0.11,390.89,59.61
123,140,4,2022-05-19,3,0.22,4134.27,260.51
124,192,8,2023-04-21,5,0.24,899.92,207.0
125,10,7,2023-08-02,2,0.05,3620.56,345.29
126,8,41,2024-10-19,2,0.21,2084.07,390.1
127,100,82,2024-01-24,3,0.09,1954.38,294.88
128,97,98,2022-12-05,5,0.0,5050.15,581.47
129,98,91,2024-04-11,2,0.22,704.64,163.1
130,43,53,2023-01-18,4,0.25,916.11,118.52
131,59,76,2024-04-29,3,0.13,682.96,167.82
132,172,84,2023-03-04,1,0.29,314.97,73.12
133,84,68,2023-01-09,2,0.05,2118.46,544.6
134,89,78,2022-12-22,3,0.1,2230.98,489.66
135,41,69,2022-08-25,2,0.29,1771.48,144.71
136,77,69,2022-07-10,1,0.15,1060.39,225.49
137,174,74,2023-06-25,3,0.17,3336.2,386.25
138,116,3,2022-11-15,3,0.17,3739.91,302.63
139,56,51,2023-10-27,5,0.01,841.2,197.59
140,110,20,2023-04-24,4,0.29,3934.17,817.7
141,179,85,2022-02-06,3,0.19,2261.82,296.91
142,142,49,2024-05-20,1,0.01,924.95,110.94
143,140,98,2023-07-21,5,0.22,3939.12,544.98
144,111,35,2024-03-13,4,0.06,4018.12,1101.35
145,74,41,2022-04-19,5,0.07,6133.49,576.82
146,191,15,2024-12-27,5,0.06,3847.56,1084.64
147,116,28,2024-08-30,1,0.24,748.92,50.65
148,62,35,2022-05-10,2,0.27,1560.23,239.76
149,151,50,2022-12-22,2,0.15,1054.36,193.2
150,70,98,2023-04-20,4,0.28,2908.89,803.3
151,193,84,2023-10-28,5,0.11,1974.11,532.66
152,155,70,2023-08-05,5,0.02,5341.69,1183.51
153,97,86,2022-11-30,5,0.21,4216.07,421.63
154,134,28,2022-08-01,2,0.13,1714.63,323.9
155,179,84,2022-01-06,3,0.04,1277.63,120.26
156,126,69,2024-11-17,4,0.22,3892.26,531.75
157,41,61,2023-12-09,1,0.12,666.39,93.75
158,17,85,2022-05-27,2,0.1,1675.42,315.02
159,69,97,2024-10-19,4,0.11,4872.29,1160.3
160,22,2,2024-06-05,5,0.05,2479.98,491.11
161,173,46,2023-03-04,4,0.26,4186.27,996.55
162,182,14,2024-04-09,2,0.04,652.07,100.99
163,160,71,2022-06-18,4,0.15,4820.21,281.53
164,4,53,2023-03-05,3,0.1,824.5,242.58
165,5,3,2023-01-23,5,0.29,5331.99,780.59
166,114,40,2024-11-27,3,0.25,1371.46,272.1
167,88,22,2023-09-03,1,0.18,388.18,69.79
168,40,42,2023-11-18,2,0.27,1431.5,165.79
169,185,44,2023-12-29,3,0.12,3221.96,246.65
170,46,49,2023-04-18,5,0.18,3830.59,744.54
171,7,78,2023-07-01,4,0.19,2677.18,357.72
172,155,47,2022-06-16,1,0.07,1040.62,141.25
173,21,70,2024-09-23,3,0.29,2322.0,285.07
174,79,77,2024-08-03,1,0.14,1196.86,224.77
175,76,37,2024-03-10,4,0.24,3848.18,326.16
176,2,72,2023-09-30,1,0.26,1208.06,92.1
177,161,1,2023-05-16,2,0.03,213.01,11.51
178,145,3,2023-09-10,2,0.19,2433.19,444.25
179,9,66,2022-03-11,1,0.09,1627.1,108.49
180,151,50,2024-05-25,1,0.21,489.97,64.47
181,83,92,2022-01-11,1,0.28,38.11,10.8
182,149,13,2022-03-12,2,0.06,2207.83,258.95
183,109,36,2023-10-17,1,0.29,204.99,32.24
184,84,68,2022-04-17,5,0.22,4348.42,1181.54
185,82,16,2024-11-04,4,0.25,4997.1,944.13
186,173,90,2023-06-24,2,0.12,2978.78,262.75
187,147,24,2024-06-02,5,0.07,8162.75,1710.53
188,1,100,2023-05-15,5,0.01,7769.82,810.56
189,4,47,2022-07-26,1,0.02,1096.57,259.5
190,189,35,2024-11-28,4,0.12,3761.65,708.66
191,172,60,2024-05-22,5,0.0,4695.5,1116.57
192,40,73,2023-09-10,3,0.01,3503.2,691.65
193,11,74,2022-06-24,3,0.2,3215.62,340.14
194,167,87,2024-07-27,3,0.16,2353.65,303.49
195,168,84,2022-12-24,5,0.03,2151.56,187.06
196,160,40,2022-05-02,5,0.03,2956.27,620.41
197,41,27,2023-04-19,4,0.01,2116.82,155.49
198,141,16,2024-09-29,2,0.22,2598.49,503.46
199,2,95,2024-10-03,4,0.26,1396.08,339.22
200,61,76,2024-09-23,5,0.01,1295.27,90.93
201,77,80,2024-05-31,4,0.02,4531.17,783.78
202,70,26,2023-04-27,2,0.23,2758.65,765.62
203,47,76,2024-05-25,2,0.07,486.71,73.19
204,184,75,2023-06-29,3,0.28,3146.45,687.3
205,42,73,2024-07-06,2,0.16,1981.61,330.55
206,130,82,2023-11-26,2,0.24,1088.15,248.22
207,174,65,2024-01-20,4,0.27,949.55,52.21
208,172,11,2022-03-11,2,0.16,1131.87,290.3
209,174,62,2023-11-07,3,0.11,2337.37,512.14
210,10,79,2024-08-16,4,0.16,6025.92,1121.63
211,113,32,2023-03-20,1,0.1,1739.39,266.1
212,107,17,2024-10-13,2,0.08,2942.38,780.93
213,5,39,2024-02-03,1,0.04,1306.84,362.72
214,141,26,2022-11-30,3,0.18,4406.67,792.57
215,80,92,2023-12-19,3,0.04,152.44,29.06
216,53,13,2023-05-26,5,0.16,4932.4,432.99
217,23,40,2024-06-23,4,0.2,1950.53,109.89
218,123,93,2022-04-10,4,0.15,1473.19,251.4
219,8,2,2024-07-05,2,0.19,845.8,98.25
220,32,29,2023-06-27,2,0.18,2224.96,640.77
221,53,34,2022-02-16,3,0.22,380.34,62.89
222,66,2,2022-03-08,3,0.23,1206.05,360.36
223,42,32,2024-10-21,3,0.21,4580.4,1135.96
224,63,61,2024-09-10,5,0.05,3596.98,367.25
225,131,54,2022-07-13,4,0.18,6461.24,1373.66
226,3,83,2022-08-28,4,0.23,3604.71,825.43
227,187,77,2024-09-23,3,0.21,3298.33,643.05
228,105,5,2022-06-06,3,0.01,3080.13,164.35
229,115,39,2022-02-02,4,0.12,4791.74,958.48
230,108,27,2024-09-11,3,0.17,1331.03,239.15
231,158,57,2023-11-10,4,0.19,2652.26,244.73
232,175,26,2022-12-13,4,0.23,5517.3,521.16
233,85,88,2024-11-14,3,0.11,3099.04,921.08
234,171,13,2023-03-04,5,0.1,5284.71,807.07
235,129,34,2024-10-23,5,0.24,617.65,131.73
236,67,96,2024-04-26,1,0.01,171.8,28.2
237,149,78,2023-12-26,5,0.12,3635.68,593.69
238,161,29,2024-02-16,4,0.14,4666.98,495.16
239,44,81,2024-02-23,1,0.07,340.63,82.81
240,177,27,2024-11-11,2,0.15,908.73,89.59
241,167,37,2022-09-05,4,0.28,3645.65,975.24
242,57,96,2023-10-24,1,0.14,149.24,11.32
243,7,69,2024-03-07,4,0.22,3892.26,547.2
244,105,90,2024-04-30,2,0.15,2877.23,705.41
245,5,94,2023-08-12,2,0.06,892.66,176.25
246,148,97,2022-07-23,2,0.15,2326.65,659.01
247,7,72,2022-11-19,4,0.18,5354.63,1088.88
248,101,52,2022-06-09,3,0.09,5169.58,1052.19
249,61,71,2023-01-22,3,0.2,3402.5,746.81
250,97,7,2023-08-06,5,0.14,8193.91,1655.7
251,136,13,2023-07-22,3,0.18,2888.97,176.94
252,199,54,2023-02-27,4,0.16,6618.83,423.99
253,72,9,2023-01-18,5,0.05,612.13,91.62
254,177,84,2023-04-15,5,0.19,1796.66,348.12
255,92,30,2023-10-15,1,0.11,1247.43,374.11
256,64,41,2022-10-19,2,0.22,2057.69,564.55
257,32,79,2022-02-18,4,0.16,6025.92,579.92
258,192,8,2022-07-31,1,0.09,215.51,31.24
259,184,70,2023-05-26,3,0.05,3106.9,465.6
260,82,48,2024-07-22,2,0.22,897.17,93.49
261,146,82,2023-06-01,2,0.28,1030.88,208.12
262,185,70,2022-11-20,4,0.23,3357.63,919.24
263,143,25,2022-09-14,1,0.11,455.82,77.91
264,195,21,2023-11-08,1,0.02,1030.7,119.98
265,135,51,2023-12-24,4,0.06,638.97,102.12
266,100,58,2023-08-19,4,0.22,1132.0,76.86
267,142,25,2023-05-14,1,0.23,394.36,81.76
268,129,58,2022-04-06,1,0.19,293.88,61.84
269,155,46,2023-06-24,3,0.23,3266.99,358.21
270,20,27,2024-07-16,5,0.12,2352.02,663.49
271,3,23,2024-05-13,1,0.3,1036.13,270.39
272,109,84,2022-10-02,2,0.08,816.26,102.46
273,98,86,2023-09-02,5,0.06,5016.59,568.35
274,96,77,2022-08-02,4,0.23,4286.44,905.89
275,182,100,2024-07-30,1,0.3,1098.76,285.32
276,74,90,2022-12-26,2,0.16,2843.38,638.65
277,181,31,2022-01-20,2,0.01,2638.05,731.38
278,100,56,2024-12-21,5,0.26,6715.72,1576.0
279,32,64,2022-12-18,1,0.25,470.44,30.0
280,46,78,2023-12-19,5,0.19,3346.47,443.92
281,143,71,2023-07-15,2,0.13,2466.82,318.67
282,118,74,2022-05-17,3,0.1,3617.57,554.58
283,36,45,2022-04-09,4,0.2,6139.78,1071.04
284,153,82,2024-12-05,5,0.11,3185.71,513.91
285,179,47,2023-03-29,2,0.23,1723.18,499.22
286,182,8,2023-05-14,4,0.05,899.92,151.67
287,146,42,2023-01-16,1,0.29,696.14,200.72
288,168,80,2022-07-29,3,0.08,3190.31,451.34
289,74,3,2022-05-08,1,0.29,1066.4,293.92
290,131,36,2022-09-14,1,0.0,288.72,36.91
291,31,65,2023-02-28,3,0.17,809.72,83.81
292,129,38,2023-11-21,5,0.1,954.68,239.17
293,131,93,2022-02-11,1,0.16,363.96,101.29
294,179,63,2024-12-09,2,0.06,2101.43,236.7
295,13,49,2023-07-04,2,0.16,1569.61,452.84
296,109,28,2022-02-12,3,0.24,2246.76,209.91
297,115,81,2022-04-27,4,0.14,1259.97,273.09
298,15,58,2024-07-29,2,0.24,551.49,41.65
299,170,24,2023-02-26,1,0.3,1228.8,130.82
300,151,93,2024-11-25,4,0.15,1473.19,280.45
301,163,69,2023-01-05,4,0.18,4091.87,658.02
302,122,77,2024-10-20,3,0.18,3423.58,232.76
303,51,83,2023-01-21,1,0.08,1076.73,195.38
304,170,88,2024-12-22,5,0.08,5339.17,899.73
305,3,89,2022-09-21,5,0.12,8090.28,851.91
306,78,54,2024-02-05,2,0.13,3427.61,345.72
307,1,57,2023-09-11,4,0.19,2652.26,496.72
308,45,21,2023-03-13,3,0.22,2461.05,416.4
309,17,46,2023-07-05,4,0.06,5317.69,784.5
310,40,33,2023-02-02,1,0.1,506.99,49.27
311,105,94,2023-04-08,5,0.16,1994.24,178.49
312,90,50,2023-04-22,1,0.03,601.6,41.9
313,103,46,2023-08-12,1,0.29,1004.14,273.23
314,26,36,2023-03-14,3,0.06,814.19,60.31
315,181,63,2022-03-23,4,0.08,4113.43,634.75
316,80,34,2024-08-10,4,0.15,552.64,152.52
317,13,48,2024-06-20,3,0.19,1397.52,405.98
318,155,32,2022-06-25,1,0.27,1410.84,300.64
319,7,15,2024-12-23,5,0.06,3847.56,692.71
320,61,8,2022-09-02,5,0.12,1042.01,105.01
321,96,23,2024-11-19,1,0.08,1361.77,209.68
322,150,67,2023-11-27,5,0.09,2176.95,339.03
323,68,63,2023-09-27,4,0.28,3219.21,216.93
324,121,4,2024-05-23,1,0.13,1537.1,362.36
325,154,72,2022-03-24,3,0.03,4750.6,1191.05
326,145,72,2023-06-05,1,0.1,1469.26,97.81
327,70,6,2024-02-16,2,0.03,74.48,18.97
328,61,52,2024-04-19,5,0.19,7669.16,2172.64
329,92,21,2022-02-21,3,0.03,3060.53,547.76
330,120,82,2023-01-23,2,0.07,1331.56,109.72
331,93,66,2022-05-04,5,0.12,7867.29,2167.87
332,22,62,2024-06-08,3,0.06,2468.68,245.56
333,158,80,2022-07-20,4,0.27,3375.26,1011.86
334,58,67,2023-02-08,2,0.23,736.81,111.44
335,134,59,2023-01-28,1,0.14,1141.62,271.4
336,162,49,2024-10-26,4,0.08,3438.19,192.92
337,168,44,2022-08-01,4,0.17,4051.86,841.13
338,116,76,2022-07-17,4,0.18,858.28,85.13
339,32,71,2023-01-05,2,0.11,2523.52,695.29
340,188,74,2023-05-17,4,0.09,4877.02,523.1
341,179,69,2023-10-17,5,0.29,4428.7,827.87
342,50,86,2024-04-06,3,0.24,2433.58,508.33
343,12,60,2024-08-09,5,0.19,3803.36,765.14
344,38,97,2022-02-10,4,0.09,4981.78,972.61
345,68,74,2023-07-05,3,0.02,3939.13,1041.01
346,20,79,2022-10-14,1,0.22,1398.88,293.48
347,135,36,2023-07-21,1,0.1,259.85,17.48
348,139,59,2024-11-11,4,0.08,4885.05,804.81
349,169,84,2022-03-05,4,0.13,1543.8,220.27
350,104,95,2024-02-14,4,0.06,1773.4,275.25
351,175,43,2023-01-23,1,0.3,1387.97,125.15
352,64,88,2023-03-11,3,0.25,2611.55,157.69
353,200,85,2022-08-14,3,0.16,2345.59,429.9
354,169,30,2023-07-22,1,0.01,1387.59,369.89
355,105,75,2023-12-02,5,0.24,5535.42,1226.64
356,139,60,2023-12-19,4,0.14,3230.5,902.93
357,192,60,2022-08-09,2,0.13,1634.03,209.22
358,122,39,2023-06-26,1,0.25,1020.97,129.55
359,141,35,2024-10-11,5,0.04,5129.52,863.2
360,137,90,2023-09-26,1,0.29,1201.67,174.49
361,134,40,2024-07-18,1,0.06,572.97,143.05
362,160,82,2024-10-21,4,0.13,2491.3,238.61
363,101,92,2022-02-12,4,0.28,152.44,13.38
364,126,34,2024-10-28,5,0.02,796.45,228.17
365,46,65,2024-12-29,2,0.23,500.79,96.44
366,82,50,2023-07-09,1,0.09,564.39,152.27
367,8,60,2024-07-30,5,0.3,3286.85,768.83
368,126,69,2023-09-25,2,0.1,2245.54,209.69
369,130,39,2023-03-16,2,0.03,2640.9,518.27
370,143,48,2023-07-30,3,0.2,1380.26,358.15
371,137,13,2024-04-06,2,0.02,2301.78,265.66
372,127,96,2022-08-07,2,0.28,249.9,59.77
373,184,43,2023-04-01,3,0.27,4342.38,383.51
374,200,11,2022-09-03,2,0.07,1253.14,297.14
375,120,79,2023-04-20,2,0.14,3084.7,868.45
376,56,3,2023-04-26,4,0.27,4385.75,1203.55
377,182,2,2022-12-21,5,0.14,2245.03,407.61
378,27,67,2022-04-27,5,0.26,1770.26,232.63
379,28,51,2022-08-28,1,0.25,127.46,37.55
380,112,78,2024-05-27,4,0.06,3106.85,907.58
381,187,57,2023-11-09,4,0.13,2848.73,848.65
382,175,48,2022-09-25,4,0.09,2093.4,444.91
383,138,13,2023-03-24,4,0.03,4556.59,432.51
384,116,47,2022-08-22,3,0.17,2786.19,817.6
385,102,19,2022-09-25,2,0.06,2157.9,156.05
386,109,50,2023-07-14,2,0.14,1066.76,249.63
387,114,28,2022-09-02,1,0.01,975.57,289.9
388,170,16,2023-11-26,4,0.1,5996.52,1242.4
389,6,76,2022-10-20,1,0.14,225.04,29.6
390,198,100,2022-07-06,1,0.3,1098.76,261.49
391,8,30,2024-11-02,1,0.23,1079.24,301.2
392,39,52,2024-11-13,4,0.03,7347.25,974.51
393,37,37,2023-03-04,4,0.09,4607.69,1310.83
394,130,76,2022-08-02,5,0.16,1099.01,247.78
395,43,55,2023-06-14,1,0.17,1361.54,383.4
396,81,49,2022-12-30,3,0.04,2690.76,438.68
397,134,99,2022-06-18,2,0.16,1456.85,392.26
398,14,100,2024-03-24,3,0.17,3908.45,818.59
399,18,66,2023-12-25,3,0.11,4774.01,410.66
400,142,86,2022-02-15,3,0.29,2273.48,472.21
401,46,49,2022-12-20,1,0.02,915.6,173.43
402,19,47,2023-06-04,1,0.29,794.45,193.85
403,128,5,2023-08-25,2,0.29,1472.65,357.08
404,134,96,2022-04-27,5,0.02,850.35,176.59
405,121,29,2022-07-12,3,0.07,3785.14,901.79
406,103,17,2024-10-05,4,0.28,4605.47,443.48
407,171,58,2022-01-06,1,0.05,344.68,92.89
408,124,42,2022-03-26,5,0.15,4167.04,835.46
409,2,67,2023-05-15,1,0.11,425.82,53.24
410,148,75,2024-09-08,3,0.25,3277.55,899.35
411,159,89,2022-12-21,1,0.11,1636.44,266.1
412,124,31,2023-07-28,3,0.27,2917.85,482.58
413,82,99,2022-11-05,5,0.03,4205.77,522.01
414,136,42,2024-04-06,5,0.02,4804.35,1316.44
415,88,29,2023-09-14,2,0.04,2604.83,640.2
416,54,29,2022-08-27,2,0.25,2035.02,465.96
417,180,63,2023-05-24,5,0.06,5253.57,818.03
418,134,89,2023-08-01,1,0.01,1820.31,336.05
419,148,6,2024-05-03,2,0.24,58.35,6.72
420,166,20,2024-10-13,3,0.07,3864.9,482.04
421,10,57,2023-03-23,4,0.1,2946.96,672.51
422,59,35,2023-04-30,4,0.17,3547.92,400.08
423,146,42,2022-01-14,4,0.21,3098.32,602.78
424,165,54,2022-11-15,1,0.28,1418.32,422.76
425,2,3,2024-01-14,3,0.04,4325.67,925.39
426,146,77,2024-01-04,5,0.3,4870.95,365.31
427,5,39,2024-01-21,3,0.11,3634.64,1053.54
428,153,86,2022-08-17,1,0.05,1013.99,103.51
429,54,73,2022-08-05,4,0.21,3727.31,515.94
430,19,13,2024-04-01,5,0.02,5754.46,500.23
431,91,89,2022-06-01,5,0.22,7170.93,592.17
432,46,8,2023-10-26,3,0.03,689.15,187.92
433,49,48,2024-09-22,5,0.03,2789.28,712.58
434,130,94,2023-05-03,1,0.16,398.85,109.79
435,168,30,2023-09-15,2,0.05,2663.06,741.13
436,40,71,2022-11-21,4,0.27,4139.71,732.71
437,165,67,2023-08-13,3,0.29,1019.1,293.04
438,140,54,2022-12-13,5,0.11,8766.01,774.4
439,93,10,2024-11-15,2,0.27,106.1,31.63
440,114,74,2022-04-23,1,0.02,1313.04,195.7
441,46,3,2024-05-30,3,0.08,4145.44,836.66
442,103,93,2023-10-29,1,0.19,350.96,54.58
443,72,17,2022-06-23,4,0.25,4797.36,831.16
444,86,12,2022-07-06,1,0.08,1113.0,207.42
445,155,82,2023-06-28,2,0.06,1345.87,371.23
446,54,49,2023-02-05,4,0.17,3101.84,443.16
447,194,87,2023-12-19,1,0.29,663.13,138.88
448,116,69,2023-02-08,2,0.27,1821.38,97.04
449,44,4,2024-09-09,3,0.13,4611.3,282.17
450,47,82,2022-06-22,5,0.22,2791.97,562.92
451,46,35,2023-09-24,3,0.19,2596.82,729.06
452,19,38,2024-12-30,3,0.23,490.07,74.92
453,46,22,2023-04-19,2,0.26,700.62,55.36
454,50,30,2022-09-20,5,0.17,5816.68,824.84
455,180,7,2023-05-13,1,0.14,1638.78,149.39
456,130,99,2024-09-16,4,0.16,2913.69,418.11
457,115,70,2023-11-14,5,0.01,5396.19,318.42
458,16,16,2022-07-21,1,0.25,1249.28,292.38
459,193,26,2024-11-06,2,0.03,3475.18,480.54
460,148,48,2024-11-20,5,0.3,2012.88,380.67
461,45,53,2022-11-09,5,0.25,1145.14,141.42
462,200,74,2022-11-18,4,0.17,4448.27,1001.18
463,39,19,2023-05-28,2,0.13,1997.21,465.24
464,131,8,2023-04-05,4,0.19,767.3,162.43
465,47,85,2023-12-15,2,0.0,1861.58,448.36
466,54,57,2023-11-05,4,0.03,3176.17,889.28
467,125,41,2023-05-09,5,0.12,5803.73,1071.97
468,40,16,2024-07-08,4,0.25,4997.1,1403.21
469,128,57,2022-01-06,4,0.27,2390.31,366.82
470,65,50,2023-01-14,3,0.25,1395.47,356.46
471,104,10,2023-03-24,3,0.12,191.85,50.14
472,98,77,2023-10-02,1,0.23,1071.61,61.61
473,53,55,2023-03-06,2,0.26,2427.81,214.99
474,27,26,2022-11-20,4,0.04,6878.71,1119.03
475,126,51,2023-03-23,4,0.22,530.21,52.55
476,25,88,2024-10-18,5,0.11,5165.07,1140.26
477,154,61,2024-08-18,3,0.19,1840.14,351.45
478,62,91,2022-09-16,5,0.13,1964.85,116.18
479,148,26,2024-05-07,4,0.19,5803.91,829.41
480,15,10,2023-06-14,5,0.07,337.92,70.95
481,29,58,2024-12-01,2,0.26,536.97,67.58
482,165,81,2023-06-09,1,0.22,285.69,36.53
483,139,100,2022-03-06,3,0.03,4567.71,786.98
484,142,86,2022-08-31,3,0.22,2497.62,270.73
485,194,48,2022-07-15,3,0.06,1621.81,289.89
486,103,31,2022-06-27,4,0.25,3997.05,870.56
487,92,44,2024-08-14,4,0.12,4295.95,1043.63
488,107,99,2023-07-31,5,0.13,3772.19,432.57
489,78,39,2022-03-14,1,0.14,1170.71,233.97
490,45,7,2022-09-08,5,0.1,8575.02,2321.67
491,2,48,2022-04-19,4,0.18,1886.36,325.33
492,85,6,2024-12-31,1,0.28,27.64,4.56
493,104,57,2024-03-31,4,0.21,2586.78,758.93
494,93,60,2023-07-04,1,0.26,694.93,42.83
495,188,28,2022-09-18,2,0.1,1773.76,97.22
496,124,73,2024-08-22,5,0.12,5189.93,744.23
497,58,5,2023-07-24,4,0.07,3857.94,917.79
498,8,62,2023-08-29,1,0.18,717.84,48.77
499,2,47,2023-09-01,1,0.01,1107.76,185.5
